APM,PrecisionRelativa,IndiceCobertura,IndicePostDano,IET,Clase
30.00,0.4000,0.1473,0.0000,1.2630,0
102.00,0.8235,0.2957,1.0000,34.3899,1
72.00,0.0833,0.2838,1.0000,12.5105,2
54.00,0.0000,0.9759,0.0000,0.5369,3
30.00,0.6000,0.0142,0.0000,1.3805,0
84.00,0.8571,0.0690,0.5000,37.2718,1
114.00,0.3684,0.1752,0.2500,24.2325,2
90.00,0.8000,0.1510,0.6667,37.8263,1
48.00,0.7500,0.0000,0.0000,17.9154,0
102.00,0.7647,0.0000,0.0000,50.2308,1
150.00,0.3200,0.2009,0.0000,32.5666,2
42.00,0.0000,0.9816,1.0000,0.2724,3
30.00,0.6000,0.0135,0.0000,1.0344,0
30.00,1.0000,0.1547,0.2000,8.7270,0
144.00,0.3750,0.0000,0.0000,32.6599,2
72.00,0.0000,0.9773,0.0000,0.6417,3
36.00,0.0000,0.1043,0.0000,1.2183,0
48.00,0.0000,0.9757,0.0000,0.3898,3
126.00,0.1905,0.5259,1.0000,15.2931,2
24.00,0.0000,0.3563,0.0000,0.7140,0
120.00,0.8000,0.3401,0.0000,35.3202,1
156.00,0.4615,0.0901,0.0000,40.7116,2
102.00,0.1765,0.0000,0.0000,9.3935,
150.00,0.0800,0.1371,0.0000,19.5977,2
42.00,0.0000,0.9086,0.0000,1.3640,3
48.00,0.1250,0.9033,0.0000,1.9165,3
30.00,0.0000,1.0000,0.0000,0.0000,3
30.00,0.4000,0.5425,0.3333,0.9697,0
72.00,0.6667,0.4102,0.0000,15.7226,1
150.00,0.4400,0.0371,0.0000,32.3507,2
108.00,0.3889,0.0000,0.0000,24.9507,2
24.00,1.0000,0.0838,0.4000,5.0780,0
54.00,0.6667,0.2777,0.5000,20.8805,1
102.00,0.2353,0.4931,1.0000,19.1657,2
42.00,0.1429,0.9999,0.0000,0.0016,3
24.00,0.7500,0.1007,0.5000,5.1864,0
114.00,0.5263,0.1815,0.5000,29.7878,2
108.00,0.4444,0.0767,0.5000,29.2944,2
108.00,0.1111,0.1329,0.5000,14.4686,2
36.00,0.1667,0.2749,0.5000,7.8668,0
6.00,0.0000,0.0000,0.0000,0.4811,
12.00,0.0000,0.0000,0.0000,2.0490,
108.00,0.0000,0.0000,0.0000,14.2702,
132.00,0.0000,0.0000,0.0000,18.0467,
18.00,0.0000,0.0000,0.0000,2.0530,
48.00,0.3750,0.1665,0.6667,8.2332,
18.00,1.0000,0.3172,0.5000,2.9327,
24.00,0.0000,0.3869,0.0000,0.6966,0
90.00,0.6667,0.0907,0.0000,41.4875,1
144.00,0.4583,0.2818,0.8000,30.7339,2
84.00,0.0714,0.9241,1.0000,2.4967,3
30.00,1.0000,0.0381,0.2500,12.6803,0
78.00,0.7692,0.0938,0.3333,34.6886,1
108.00,0.3333,0.4056,0.6667,19.1740,2
150.00,0.3200,0.0161,0.0000,40.1352,2
30.00,0.6000,0.2002,0.3333,8.9397,0
120.00,0.8500,0.0301,0.0000,57.9654,1
96.00,0.4375,0.3269,0.8000,17.9712,2
66.00,0.0000,0.9572,0.3333,1.1127,3
30.00,0.6000,0.1133,0.0000,10.6219,0
0.00,0.0000,0.0000,0.0000,0.0000,
66.00,0.0000,0.0000,0.0000,6.0065,
0.00,0.0000,0.3470,0.0000,0.0000,
18.00,1.0000,0.0047,0.0000,1.2367,
0.00,0.0000,0.3735,0.0000,0.0000,
18.00,0.6667,0.7498,0.0000,0.3316,
42.00,0.4286,0.2406,1.0000,6.1272,
174.00,0.1379,0.2138,0.6000,37.3182,
66.00,0.5455,0.0838,0.0000,9.5532,
36.00,0.0000,0.1543,0.0000,5.5759,
