APM,PrecisionRelativa,IndiceCobertura,IndicePostDano,IET,DistanciaPromedio,VarianzaDistancia,Clase
36.00,0.1667,0.6501,1.0000,1.0784,10.6802,6.9796,0
30.00,0.2000,0.6868,1.0000,0.7207,12.0362,10.0947,0
48.00,0.1250,0.6397,1.0000,1.3643,11.6766,11.7079,3
72.00,0.5833,0.1302,0.0000,5.7462,9.8985,9.6366,3
36.00,0.3333,0.5836,1.0000,1.1694,11.8175,21.0574,0
84.00,0.7857,0.0119,0.0000,29.7922,1.7860,0.1343,1
90.00,0.3333,0.0590,1.0000,10.6492,6.9523,11.1701,2
60.00,0.0000,0.5335,0.0000,2.7474,9.1870,11.9195,3
42.00,0.2857,0.6550,1.0000,1.1897,11.1815,9.6845,0
102.00,0.8824,0.0000,0.0000,37.7900,1.6991,0.1851,1
120.00,0.3500,0.0000,0.0000,16.4206,6.3079,12.3529,2
48.00,0.3750,0.4779,0.0000,2.2446,10.1661,12.7330,3
30.00,0.0000,0.6659,0.0000,0.7224,12.8728,19.0841,0
90.00,0.8000,0.0000,0.0000,32.6729,1.7546,0.2248,1
120.00,0.6500,0.0000,0.0000,22.1798,4.4103,9.5745,2
60.00,0.1000,0.6699,0.0000,1.4144,13.0042,12.0938,3
42.00,0.0000,0.6835,0.0000,1.0724,11.3963,14.7753,3
90.00,0.8000,0.0000,0.0000,32.8774,1.7374,0.2019,1
72.00,0.5000,0.0000,0.0000,23.3392,2.0849,1.5276,2
60.00,0.3000,0.6385,1.0000,1.5399,13.0841,17.6744,3
36.00,0.1667,0.7007,0.0000,0.9079,10.8692,14.3252,0
114.00,0.9474,0.0116,0.0000,41.8496,1.6924,0.1841,1
138.00,0.3913,0.0000,0.0000,21.6298,5.3801,6.2979,2
54.00,0.2222,0.7473,0.0000,1.0838,11.5922,9.7189,3
96.00,0.8125,0.0000,0.0000,33.9170,1.8304,0.1605,1
96.00,0.7500,0.0000,0.0000,34.3353,1.7960,0.1451,1
156.00,0.3846,0.0000,0.0000,21.4434,6.2750,24.8366,2
48.00,0.1250,0.6830,1.0000,1.2181,11.4910,7.4338,3
30.00,0.2000,0.6508,0.0000,0.8054,12.0070,14.7790,0
108.00,0.7778,0.0115,0.0000,38.9369,1.7419,0.2134,1
132.00,0.2273,0.0000,0.0000,22.1003,4.9728,8.0369,2
60.00,0.2000,0.6756,0.0000,1.4875,12.0858,12.6313,3
36.00,0.1667,0.7096,0.0000,0.7217,13.4881,16.7154,0
96.00,0.9375,0.0000,0.0000,34.4811,1.7841,0.1234,1
138.00,0.5217,0.0000,0.0000,23.8906,4.7763,5.6323,2
54.00,0.1111,0.7051,1.0000,1.1283,13.1159,11.0631,3
36.00,0.0000,0.7015,1.0000,0.8596,11.5026,13.8057,0
90.00,0.9333,0.0000,0.0000,34.3754,1.6181,0.2248,1
114.00,0.3158,0.0000,0.0000,22.3978,4.0898,2.8164,2
84.00,0.2143,0.5759,0.0000,2.9935,10.9019,16.2956,3
36.00,0.1667,0.6998,0.0000,0.9122,10.8462,7.9229,0
114.00,0.6842,0.0000,0.0000,42.6799,1.6710,0.1603,1
90.00,0.4667,0.0000,0.0000,20.4132,3.4089,4.8848,2
54.00,0.2222,0.6291,0.0000,1.7097,10.7136,16.7030,3
30.00,0.2000,0.6921,1.0000,0.7158,11.9056,11.0255,0
36.00,0.1667,0.6700,0.0000,0.8231,13.4334,24.7992,0
138.00,0.5652,0.0194,0.0000,29.3090,3.6173,3.2497,2
60.00,0.1000,0.6998,0.0000,1.2650,13.2392,16.4932,3
36.00,0.1667,0.7100,0.0000,0.7223,13.4531,20.7937,0
96.00,0.8750,0.0110,0.0000,35.9236,1.6429,0.1752,1
30.00,0.2000,0.6192,1.0000,0.9435,11.1076,9.6904,0
48.00,0.1250,0.7366,0.0000,0.9578,12.1992,19.0861,3
54.00,0.1111,0.6363,0.0000,2.0460,8.5982,9.5637,3
114.00,0.8421,0.0000,0.0000,42.1360,1.7055,0.1486,1
78.00,0.4615,0.0000,0.0000,12.5873,5.1967,5.1559,2
60.00,0.2000,0.7238,0.0000,1.4511,10.4195,9.4595,3
72.00,0.5000,0.0112,0.0000,11.8181,5.0240,5.6589,2
108.00,0.8889,0.0000,0.0000,40.3707,1.6752,0.2134,1
102.00,0.4118,0.0000,0.0000,24.0619,3.2391,3.9669,2
102.00,0.4706,0.0000,0.0000,23.1077,3.4141,1.7665,2
30.00,0.2000,0.7147,1.0000,0.6580,12.0093,9.1209,0
108.00,1.0000,0.0000,0.0000,38.1485,1.8310,0.1755,1
96.00,0.3750,0.1263,1.0000,9.8281,7.5343,8.8048,2
48.00,0.1250,0.7162,0.0000,1.0800,11.6144,6.4241,3
24.00,0.2500,0.6727,0.0000,0.6486,11.1132,11.6971,0
90.00,1.0000,0.0000,0.0000,32.7155,1.7510,0.1371,1
84.00,0.4286,0.0301,0.0000,12.7397,5.3950,13.3422,2
66.00,0.0000,0.7004,1.0000,1.6353,11.0934,7.3740,3
42.00,0.2857,0.7145,1.0000,0.8016,13.9582,17.1700,0
54.00,0.1111,0.6684,1.0000,1.3974,11.8143,8.4511,3
84.00,0.5000,0.0116,0.0000,14.9429,4.5561,8.1949,2
48.00,0.1250,0.6427,0.0000,1.4914,10.5000,11.4897,3
30.00,0.0000,0.6987,0.0000,0.7392,11.2304,11.3976,0
90.00,0.8667,0.0000,0.0000,31.1556,1.8887,0.0913,1
138.00,0.4348,0.0000,0.0000,28.0537,3.9191,3.2322,2
60.00,0.5000,0.4498,1.0000,2.8205,10.7045,10.7542,3
30.00,0.0000,0.5922,1.0000,1.1638,9.5121,13.0492,0
96.00,0.9375,0.0000,0.0000,34.3609,1.7939,0.1914,1
102.00,0.5882,0.0000,0.0000,19.3867,4.2613,7.0669,2
48.00,0.1250,0.6976,0.0000,1.0161,13.2841,8.1846,3
30.00,0.0000,0.6129,0.0000,0.8702,12.3442,17.4297,0
90.00,0.9333,0.0000,0.0000,33.1823,1.7123,0.2806,1
60.00,0.1000,0.7333,0.0000,1.2832,11.4707,10.4009,3
66.00,0.1818,0.6740,0.0000,1.5578,12.8133,16.7269,3
114.00,0.5263,0.0000,0.0000,22.5822,4.0482,1.9478,2
78.00,0.7692,0.0584,0.5000,10.7201,5.8511,16.7723,3
102.00,0.7647,0.0000,0.0000,36.9737,1.7587,0.1771,1
60.00,0.1000,0.6509,0.0000,1.3910,14.0564,15.6042,3
30.00,0.2000,0.7035,0.0000,0.6270,13.1872,12.8648,0
30.00,0.2000,0.6713,0.0000,0.9433,9.4539,10.4099,0
102.00,0.6471,0.0107,0.0000,26.2885,2.8386,2.5289,2
78.00,0.0769,0.7111,1.0000,1.5411,13.6208,12.3754,3
36.00,0.3333,0.6115,1.0000,1.1429,11.2367,10.4636,0
114.00,0.9474,0.0000,0.0000,42.0567,1.7106,0.0844,1
102.00,0.3529,0.0326,0.0000,19.8003,3.9837,7.1596,2
36.00,0.1667,0.6707,0.0000,0.9848,11.0362,12.9866,3
30.00,0.2000,0.6141,0.0000,0.9340,11.3935,14.9148,0
102.00,0.8235,0.0000,0.0000,37.1220,1.7477,0.1984,1
114.00,0.3684,0.0000,0.0000,22.4087,4.0873,3.2017,2
54.00,0.1111,0.6858,0.0000,1.4585,10.6341,7.7778,3
36.00,0.1667,0.6980,1.0000,0.7445,13.6040,14.0120,0
90.00,0.8667,0.0000,0.0000,33.0248,1.7252,0.2152,1
120.00,0.4000,0.0000,0.0000,16.9344,6.0862,16.9846,2
30.00,0.0000,0.7390,0.0000,0.6375,11.2822,7.8359,0
36.00,0.1667,0.5636,0.0000,1.2049,12.0387,8.9761,0
84.00,0.7143,0.0282,0.0000,31.3087,1.6073,0.1694,1
120.00,0.3500,0.0000,0.0000,21.7543,4.5162,6.7720,2
102.00,0.4118,0.0000,0.0000,22.4099,3.5516,4.2864,2
36.00,0.1667,0.6869,1.0000,0.7716,13.6087,14.5428,0
84.00,0.7857,0.0000,0.0000,30.4804,1.7559,0.1473,1
84.00,0.2857,0.0000,0.0000,14.5184,4.7858,7.1432,2
54.00,0.2222,0.6431,0.0000,1.7626,9.9332,12.2438,3
36.00,0.1667,0.6922,0.0000,0.7614,13.5540,20.3436,0
114.00,0.8421,0.0114,0.0000,44.3251,1.5425,0.1845,1
138.00,0.4348,0.0000,0.0000,17.4311,6.9169,20.2073,2
78.00,0.2308,0.6377,1.0000,2.0661,12.6765,19.1824,3
36.00,0.1667,0.6327,0.0000,1.0898,11.1334,16.5597,0
84.00,0.1429,0.1274,0.5000,9.0058,7.1391,5.5736,2
114.00,0.3684,0.0000,0.0000,22.8702,3.9847,5.9157,2
96.00,0.8125,0.0000,0.0000,36.4379,1.6346,0.2085,1
36.00,0.1667,0.6999,0.0000,0.8399,11.8645,11.6974,0
84.00,0.8571,0.0106,0.0000,29.6957,1.7986,0.1733,1
102.00,0.2353,0.0000,0.0000,8.7465,10.6618,11.8178,2
90.00,0.1333,0.7224,0.0000,2.0140,11.4061,7.2358,3
42.00,0.1429,0.6168,1.0000,1.3584,10.8476,7.1146,0
90.00,0.8000,0.0113,0.0000,34.6736,1.5662,0.2173,1
126.00,0.2857,0.0000,0.0000,25.2765,3.9849,2.5463,2
126.00,0.5238,0.0000,0.0000,33.8686,2.7203,1.6507,2
36.00,0.1667,0.6034,0.0000,1.1164,11.7876,15.1792,0
78.00,0.6923,0.0000,0.0000,28.6873,1.7190,0.1828,1
78.00,0.3077,0.0000,0.0000,12.1878,5.3999,4.1983,2
72.00,0.2500,0.6295,0.0000,2.0000,12.3370,23.6529,3
36.00,0.1667,0.6464,0.0000,0.8977,13.1795,15.4260,0
66.00,0.9091,0.0101,0.0000,23.9309,1.7300,0.1720,1
138.00,0.3913,0.0000,0.0000,31.6581,3.3591,2.0995,2
54.00,0.1111,0.6632,1.0000,1.3012,12.9762,12.5374,3
36.00,0.1667,0.6739,1.0000,0.8945,12.1224,9.5362,0
84.00,0.7857,0.0106,0.0000,32.6568,1.5450,0.1939,1
84.00,0.3571,0.0000,0.0000,12.8699,5.5268,8.4264,2
60.00,0.2000,0.6273,0.0000,2.1399,9.4506,7.7585,3
30.00,0.2000,0.6875,0.0000,0.8158,10.4915,10.5193,0
102.00,0.8824,0.0116,0.0000,36.1077,1.7922,0.1489,1
30.00,0.0000,0.6082,1.0000,0.9656,11.1733,9.2055,0
54.00,0.6667,0.0717,1.0000,5.0299,8.9664,21.9752,3
30.00,0.4000,0.4556,1.0000,1.3068,11.4973,21.5815,0
60.00,0.1000,0.6923,1.0000,1.3568,12.6062,10.5219,3
114.00,0.0526,0.0113,0.0000,15.5715,6.2383,4.7286,2
30.00,0.0000,0.6150,0.0000,0.9528,11.1218,12.2439,3
72.00,0.1667,0.7038,0.0000,1.6472,11.9467,11.4194,3
114.00,0.8421,0.0194,0.0000,39.7010,1.8157,0.1664,1
144.00,0.2917,0.0675,0.5000,24.6325,4.4514,8.1311,2
42.00,0.1429,0.7073,0.0000,0.9461,11.9925,6.9403,3
36.00,0.1667,0.6722,1.0000,1.0207,10.5619,9.0734,0
108.00,0.7778,0.0115,0.0000,38.2757,1.7892,0.0946,1
108.00,0.2778,0.0332,0.5000,12.1303,7.6079,12.9606,2
84.00,0.2143,0.6714,1.0000,2.2041,11.5236,11.1910,3
